Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
477,Serge Aurier,ci CIV,"DF,MF",31-092,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1,Nott'ham Forest
478,Matz Sels,be BEL,GK,32-028,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Nott'ham Forest
479,Gonzalo Montiel,ar ARG,DF,27-084,5.5,14,11,8,5,1,10,18,55.6,8,5,2,3,6,20,28,1,Nott'ham Forest
480,Andrew Omobamidele,ie IRL,DF,21-276,5.5,9,3,8,1,0,5,8,62.5,3,8,6,2,10,19,31,1,Nott'ham Forest
481,Divock Origi,be BEL,FW,28-342,5.2,4,2,3,0,1,0,0,,0,5,0,5,2,6,2,0,Nott'ham Forest
482,Nuno Tavares,pt POR,DF,24-059,5.1,10,7,8,1,1,7,8,87.5,1,6,0,6,1,11,19,0,Nott'ham Forest
483,Odisseas Vlachodimos,gr GRE,GK,29-334,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Nott'ham Forest
484,Joe Worrall,eng ENG,DF,27-075,4.9,7,5,6,1,0,3,6,50.0,3,5,4,1,3,10,32,1,Nott'ham Forest
485,Scott McKenna,sct SCO,DF,27-134,4.6,4,0,3,1,0,2,3,66.7,1,6,4,2,5,9,27,0,Nott'ham Forest
486,Felipe,br BRA,DF,34-314,3.2,9,6,6,3,0,7,9,77.8,2,2,1,1,1,10,8,0,Nott'ham Forest
487,Brennan Johnson,wls WAL,"FW,MF",22-307,2.6,4,1,1,1,2,2,4,50.0,2,4,1,3,0,4,0,0,Nott'ham Forest
488,Cheikhou Kouyaté,sn SEN,MF,34-095,2.3,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0,Nott'ham Forest
489,Gio Reyna,us USA,"MF,FW",21-133,0.5,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Nott'ham Forest
490,Andrey Santos,br BRA,MF,19-327,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Nott'ham Forest
491,Brandon Aguilera,cr CRC,FW,20-271,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Nott'ham Forest
492,Rodrigo Ribeiro,pt POR,FW,18-332,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Nott'ham Forest
493,James Trafford,eng ENG,GK,21-167,28.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,18,1,Burnley
494,Sander Berge,no NOR,MF,26-040,24.4,56,33,25,27,4,26,47,55.3,21,36,15,21,19,75,48,1,Burnley
495,Zeki Amdouni,ch SUI,FW,23-112,19.8,25,16,1,13,11,7,24,29.2,17,20,9,11,7,32,10,0,Burnley
496,Dara O'Shea,ie IRL,DF,25-021,24.4,23,13,13,8,2,8,16,50.0,8,31,22,9,24,47,127,2,Burnley
497,Josh Brownhill,eng ENG,MF,28-097,22.5,48,31,17,22,9,21,29,72.4,8,28,7,21,29,77,36,1,Burnley
498,Charlie Taylor,eng ENG,DF,30-189,20.1,29,16,15,12,2,14,31,45.2,17,22,8,14,16,45,65,0,Burnley
499,Vitinho,br BRA,"DF,MF",24-246,18.8,49,25,27,17,5,34,66,51.5,32,29,3,26,10,59,31,3,Burnley
500,Wilson Odobert,fr FRA,"MF,FW",19-118,14.7,14,11,5,5,4,6,18,33.3,12,22,2,20,4,18,8,0,Burnley
501,Jordan Beyer,de GER,DF,23-311,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1,Burnley
502,Josh Cullen,ie IRL,MF,27-353,14.0,24,16,10,12,2,14,25,56.0,11,21,12,9,9,33,17,0,Burnley
503,Lyle Foster,za RSA,FW,23-204,12.6,15,7,3,5,7,4,12,33.3,8,11,3,8,2,17,20,0,Burnley
504,Luca Koleosho,it ITA,"MF,FW",19-192,10.8,7,4,2,5,0,2,10,20.0,8,13,0,13,2,9,0,0,Burnley
505,Ameen Al-Dakhil,be BEL,DF,22-019,11.7,12,5,4,7,1,1,10,10.0,9,13,6,7,12,24,38,2,Burnley
506,Jóhann Berg Guðmundsson,is ISL,MF,33-150,11.7,13,4,6,5,2,7,15,46.7,8,13,0,13,14,27,14,0,Burnley
507,Connor Roberts,wls WAL,DF,28-184,9.1,12,5,6,4,2,8,17,47.1,9,8,6,2,4,16,25,2,Burnley
508,Jay Rodriguez,eng ENG,FW,34-240,8.1,12,8,5,4,3,6,10,60.0,4,10,1,9,1,13,8,0,Burnley
509,Jacob Bruun Larsen,dk DEN,"MF,FW",25-188,7.4,4,2,2,0,2,3,9,33.3,6,10,0,10,3,7,6,0,Burnley
510,Lorenz Assignon,tg TOG,DF,23-277,6.9,20,11,11,7,2,11,16,68.8,5,10,3,7,8,28,20,0,Burnley
511,David Datro Fofana,ci CIV,FW,21-094,6.6,6,3,1,3,2,1,3,33.3,2,5,2,3,0,6,1,0,Burnley
512,Maxime Estève,fr FRA,DF,21-304,6.1,12,4,5,7,0,8,12,66.7,4,9,4,5,9,21,26,0,Burnley
513,Hannes Delcroix,be BEL,DF,25-026,6.5,10,6,6,4,0,3,4,75.0,1,9,3,6,9,19,26,0,Burnley
514,Aaron Ramsey,eng ENG,"MF,FW",21-064,5.9,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0,Burnley
515,Hjalmar Ekdal,se SWE,DF,25-156,3.6,2,1,1,1,0,0,1,0.0,1,4,2,2,4,6,17,0,Burnley
516,Mike Trésor,be BEL,"FW,MF",24-302,4.5,10,6,9,1,0,8,17,47.1,9,5,0,5,1,11,1,0,Burnley
517,Anass Zaroury,ma MAR,"FW,MF",23-139,1.7,1,0,1,0,0,0,4,0.0,4,2,0,2,0,1,1,1,Burnley
518,Benson Manuel,be BEL,"MF,FW",26-363,1.0,3,2,2,1,0,0,0,,0,1,0,1,0,3,0,0,Burnley
519,Arijanet Muric,xk KVX,GK,25-139,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Burnley
520,Nathan Redmond,eng ENG,"FW,MF",30-019,1.6,2,1,0,0,2,1,4,25.0,3,1,0,1,0,2,3,0,Burnley
521,Michael Obafemi,ie IRL,"FW,MF",23-263,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Burnley
522,Jack Cork,eng ENG,MF,34-274,0.2,2,0,0,2,0,1,3,33.3,2,0,0,0,0,2,1,0,Burnley
523,Han-Noah Massengo,fr FRA,"MF,DF",22-262,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Burnley
524,Jack Robinson,eng ENG,DF,30-206,25.8,36,24,27,9,0,23,33,69.7,10,41,28,13,29,65,120,2,Sheffield Utd
525,Vinicius Souza,br BRA,MF,24-282,24.1,105,63,51,41,13,33,58,56.9,25,43,13,30,28,133,59,1,Sheffield Utd
526,Wes Foderingham,eng ENG,GK,33-071,24.4,3,1,3,0,0,3,4,75.0,1,0,0,0,0,3,12,6,Sheffield Utd
527,Gustavo Hamer,nl NED,MF,26-275,22.9,33,19,17,11,5,11,49,22.4,38,22,3,19,23,56,30,0,Sheffield Utd
528,Jayden Bogle,eng ENG,DF,23-242,21.3,48,27,34,12,2,25,55,45.5,30,34,11,23,27,75,74,0,Sheffield Utd
529,Anel Ahmedhodžić,ba BIH,DF,24-365,20.4,48,30,35,11,2,22,36,61.1,14,32,19,13,23,71,98,1,Sheffield Utd
530,Auston Trusty,us USA,DF,25-226,19.7,36,23,23,10,3,14,31,45.2,17,25,17,8,18,54,117,3,Sheffield Utd
531,James Mcatee,eng ENG,"MF,FW",21-159,17.4,29,19,7,13,9,13,28,46.4,15,19,0,19,9,38,13,0,Sheffield Utd
532,Cameron Archer,eng ENG,"FW,MF",22-248,16.1,14,9,6,5,3,6,15,40.0,9,17,3,14,1,15,10,0,Sheffield Utd
533,Oliver Norwood,nir NIR,MF,32-348,15.6,41,26,18,18,5,20,45,44.4,25,24,9,15,21,62,38,0,Sheffield Utd
534,George Baldock,gr GRE,DF,31-016,10.8,18,10,10,7,1,6,15,40.0,9,14,8,6,10,28,33,0,Sheffield Utd
535,Luke Thomas,eng ENG,DF,22-289,10.2,20,9,13,6,1,8,14,57.1,6,23,5,18,10,30,27,0,Sheffield Utd
536,Oliver McBurnie,sct SCO,FW,27-295,10.1,11,3,2,4,5,1,6,16.7,5,14,2,12,3,14,19,0,Sheffield Utd
537,William Osula,dk DEN,FW,20-234,8.1,2,2,1,0,1,1,2,50.0,1,3,1,2,2,4,8,0,Sheffield Utd
538,Andre Brooks,eng ENG,"MF,DF",20-218,7.2,10,7,2,7,1,5,14,35.7,9,11,1,10,9,19,14,0,Sheffield Utd
539,Ben Osborn,eng ENG,"DF,MF",29-233,7.8,10,3,4,4,2,4,7,57.1,3,9,0,9,2,12,18,0,Sheffield Utd
540,John Egan,ie IRL,DF,31-157,5.4,6,4,4,2,0,4,11,36.4,7,10,4,6,13,19,39,1,Sheffield Utd
541,Yasser Larouci,dz ALG,DF,23-084,4.7,15,7,8,5,2,8,11,72.7,3,5,1,4,7,22,18,1,Sheffield Utd
542,Anis Ben Slimane,tn TUN,MF,23-009,4.1,8,5,3,1,4,3,8,37.5,5,5,1,4,4,12,6,0,Sheffield Utd
543,Ivo Grbić,hr CRO,GK,28-067,3.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Sheffield Utd
544,Ben Brereton,cl CHI,"MF,FW",24-342,2.8,2,2,1,1,0,1,2,50.0,1,1,1,0,0,2,2,0,Sheffield Utd
545,Max Lowe,eng ENG,"DF,MF",26-319,4.4,20,10,12,5,3,8,15,53.3,7,7,3,4,5,25,13,0,Sheffield Utd
546,Bénie Adama Traore,ci CIV,"FW,MF",21-116,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0,Sheffield Utd
547,Chris Basham,eng ENG,"DF,MF",35-249,3.6,7,2,4,3,0,2,9,22.2,7,9,4,5,5,12,17,0,Sheffield Utd
548,Rhian Brewster,eng ENG,"FW,MF",23-359,3.4,5,1,1,2,2,0,2,0.0,2,2,0,2,0,5,2,0,Sheffield Utd
549,Mason Holgate,eng ENG,DF,27-155,2.1,3,0,1,1,1,0,2,0.0,2,5,2,3,5,8,8,0,Sheffield Utd
550,Tom Davies,eng ENG,MF,25-269,2.5,10,5,4,3,3,3,9,33.3,6,2,1,1,3,13,6,1,Sheffield Utd
551,Rhys Norrington-Davies,wls WAL,DF,24-338,1.2,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,2,0,Sheffield Utd
552,Oliver Arblaster,eng ENG,MF,19-325,1.2,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0,Sheffield Utd
553,John Fleck,sct SCO,"MF,DF",32-214,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Sheffield Utd
554,Antwoine Hackford,eng ENG,FW,20-005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Sheffield Utd
555,Sydie Peck,eng ENG,MF,19-194,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Sheffield Utd
556,Ryan One,sct SCO,FW,17-273,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Sheffield Utd
557,William Saliba,fr FRA,DF,23-001,28.0,28,17,17,10,1,13,15,86.7,2,23,11,12,21,49,57,2,Arsenal
558,Declan Rice,eng ENG,MF,25-071,26.6,55,34,28,21,6,24,41,58.5,17,31,10,21,35,90,43,0,Arsenal
559,Bukayo Saka,eng ENG,FW,22-202,25.1,49,26,18,15,16,20,45,44.4,25,37,2,35,10,59,14,1,Arsenal
560,Martin Ødegaard,no NOR,MF,25-099,24.5,34,13,8,19,7,11,38,28.9,27,18,1,17,7,41,5,0,Arsenal
561,Ben White,eng ENG,DF,26-169,23.7,31,19,13,15,3,15,31,48.4,16,30,16,14,24,55,48,1,Arsenal
562,Gabriel Dos Santos,br BRA,DF,26-097,24.2,34,18,19,14,1,13,16,81.3,3,35,26,9,22,56,64,0,Arsenal
563,Gabriel Martinelli,br BRA,FW,22-281,19.4,19,15,3,7,9,8,17,47.1,9,18,1,17,4,23,5,1,Arsenal
564,David Raya,es ESP,GK,28-192,22.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,4,Arsenal
565,Kai Havertz,de GER,"MF,FW",24-288,19.8,25,11,3,16,6,11,29,37.9,18,24,1,23,14,39,13,0,Arsenal
566,Oleksandr Zinchenko,ua UKR,DF,27-101,16.0,46,27,18,22,6,33,48,68.8,15,17,3,14,15,61,18,2,Arsenal
567,Gabriel Jesus,br BRA,FW,26-357,12.7,19,13,10,4,5,3,13,23.1,10,16,1,15,8,27,7,0,Arsenal
568,Eddie Nketiah,eng ENG,FW,24-300,11.7,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,3,0,Arsenal
569,Leandro Trossard,be BEL,"FW,MF",29-112,11.3,16,11,6,6,4,5,12,41.7,7,18,0,18,6,22,4,0,Arsenal
570,Jakub Kiwior,pl POL,DF,24-039,8.8,18,12,9,8,1,14,17,82.4,3,7,2,5,6,24,25,0,Arsenal
571,Jorginho,it ITA,MF,32-096,8.1,18,7,6,5,7,9,19,47.4,10,15,1,14,8,26,4,1,Arsenal
572,Aaron Ramsdale,eng ENG,GK,25-316,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Arsenal
573,Takehiro Tomiyasu,jp JPN,DF,25-141,7.0,11,5,9,2,0,6,9,66.7,3,3,1,2,10,21,19,0,Arsenal
574,Thomas Partey,gh GHA,"DF,MF",30-286,3.1,6,5,5,1,0,4,6,66.7,2,2,1,1,4,10,2,0,Arsenal
575,Fabio Vieira,pt POR,"MF,FW",23-300,3.2,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,1,0,Arsenal
576,Emile Smith Rowe,eng ENG,MF,23-241,2.6,3,0,2,1,0,2,4,50.0,2,3,1,2,1,4,0,0,Arsenal
577,Jurriën Timber,nl NED,DF,22-282,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Arsenal
578,Reiss Nelson,eng ENG,"FW,MF",24-106,2.2,8,5,4,1,3,8,9,88.9,1,4,1,3,1,9,5,0,Arsenal
579,Cédric Soares,pt POR,DF,32-207,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Arsenal
580,Mohamed Elneny,eg EGY,MF,31-258,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Arsenal
581,Ethan Nwaneri,eng ENG,FW,17-004,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Arsenal
582,Virgil van Dijk,nl NED,DF,32-261,25.3,31,16,20,8,3,10,12,83.3,2,35,26,9,34,65,112,0,Liverpool
583,Luis Díaz,co COL,FW,27-072,20.4,22,17,3,10,9,6,26,23.1,20,14,0,14,3,25,7,0,Liverpool
584,Alexis Mac Allister,ar ARG,MF,25-092,20.1,64,37,21,35,8,42,89,47.2,47,51,5,46,27,91,14,0,Liverpool
585,Alisson,br BRA,GK,31-175,21.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,3,Liverpool
586,Dominik Szoboszlai,hu HUN,MF,23-152,19.2,29,18,10,11,8,15,44,34.1,29,32,2,30,11,40,16,1,Liverpool
587,Mohamed Salah,eg EGY,FW,31-284,20.2,13,9,0,5,8,5,17,29.4,12,15,1,14,2,15,0,0,Liverpool
588,Trent Alexander-Arnold,eng ENG,DF,25-170,18.0,28,19,19,8,1,20,67,29.9,47,13,1,12,23,51,39,4,Liverpool
589,Darwin Núñez,uy URU,FW,24-275,17.5,19,12,2,9,8,10,21,47.6,11,17,6,11,2,21,5,0,Liverpool
590,Joe Gomez,eng ENG,DF,26-307,16.1,38,24,19,13,6,24,54,44.4,30,21,3,18,14,52,42,2,Liverpool
591,Ibrahima Konaté,fr FRA,DF,24-305,14.8,30,19,18,11,1,15,21,71.4,6,17,11,6,18,48,45,0,Liverpool
592,Diogo Jota,pt POR,FW,27-112,11.6,23,13,6,13,4,10,22,45.5,12,8,1,7,6,29,4,0,Liverpool
593,Cody Gakpo,nl NED,"FW,MF",24-323,12.9,18,11,5,9,4,4,14,28.6,10,18,4,14,8,26,7,0,Liverpool
594,Wataru Endo,jp JPN,MF,31-045,12.2,30,17,7,19,4,11,35,31.4,24,16,2,14,12,42,21,1,Liverpool
595,Curtis Jones,eng ENG,MF,23-055,10.6,21,13,12,7,2,8,20,40.0,12,17,0,17,6,27,8,0,Liverpool
596,Andrew Robertson,sct SCO,DF,30-014,11.8,26,18,17,7,2,18,26,69.2,8,10,3,7,9,35,30,0,Liverpool
597,Ryan Gravenberch,nl NED,MF,21-314,9.4,20,9,5,9,6,7,21,33.3,14,14,1,13,11,31,11,0,Liverpool
598,Joël Matip,cm CMR,DF,32-230,8.7,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,Liverpool
599,Kostas Tsimikas,gr GRE,DF,27-318,7.5,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,Liverpool
600,Caoimhín Kelleher,ie IRL,GK,25-123,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Liverpool
601,Harvey Elliott,eng ENG,"MF,FW",20-356,9.3,16,12,3,10,3,7,21,33.3,14,16,0,16,5,21,6,0,Liverpool
602,Jarell Quansah,eng ENG,DF,21-056,5.9,7,6,6,1,0,4,6,66.7,2,5,2,3,5,12,19,0,Liverpool
603,Conor Bradley,nir NIR,DF,20-260,4.9,19,16,10,7,2,13,22,59.1,9,10,1,9,5,24,9,0,Liverpool
604,Bobby Clark,eng ENG,MF,19-047,1.0,2,1,1,1,0,1,5,20.0,4,6,2,4,1,3,1,0,Liverpool
605,Ben Doak,sct SCO,FW,18-135,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
606,Jayden Danns,eng ENG,FW,18-069,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
607,Owen Beck,wls WAL,DF,21-229,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Liverpool
608,Thiago Alcántara,es ESP,MF,32-349,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
609,James McConnell,eng ENG,MF,19-194,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Liverpool
610,Kaide Gordon,eng ENG,FW,19-172,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Liverpool
611,Ederson,br BRA,GK,30-221,25.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Manchester City
612,Phil Foden,eng ENG,"FW,MF",23-302,25.7,24,14,10,8,6,12,24,50.0,12,21,0,21,13,37,15,1,Manchester City
613,Julián Álvarez,ar ARG,"MF,FW",24-054,24.4,19,9,3,7,9,7,25,28.0,18,23,0,23,2,21,13,1,Manchester City
614,Kyle Walker,eng ENG,DF,33-302,25.1,28,18,15,11,2,15,32,46.9,17,16,4,12,22,50,36,1,Manchester City
615,Rodri,es ESP,MF,27-277,24.1,54,33,17,27,10,26,48,54.2,22,25,7,18,20,74,35,3,Manchester City
616,Erling Haaland,no NOR,FW,23-248,21.4,5,2,0,3,2,2,2,100.0,0,9,1,8,1,6,13,0,Manchester City
617,Rúben Dias,pt POR,DF,26-316,21.4,27,12,11,15,1,14,20,70.0,6,25,13,12,22,49,69,0,Manchester City
618,Bernardo Silva,pt POR,"MF,FW",29-228,21.1,38,19,11,21,6,18,40,45.0,22,21,3,18,11,49,11,1,Manchester City
619,Nathan Aké,nl NED,DF,29-036,19.2,23,13,15,6,2,12,17,70.6,5,13,2,11,11,34,44,0,Manchester City
620,Manuel Akanji,ch SUI,"DF,MF",28-250,18.6,25,16,10,10,5,14,26,53.8,12,21,10,11,20,45,55,1,Manchester City
621,Joško Gvardiol,hr CRO,DF,22-062,16.4,30,21,11,15,4,14,23,60.9,9,20,9,11,20,50,24,2,Manchester City
622,Jeremy Doku,be BEL,"FW,MF",21-303,13.3,28,19,10,11,7,9,17,52.9,8,9,0,9,8,36,4,0,Manchester City
623,John Stones,eng ENG,"DF,MF",29-302,10.6,2,1,1,0,1,0,3,0.0,3,11,7,4,9,11,20,0,Manchester City
624,Mateo Kovačić,hr CRO,MF,29-324,10.8,21,16,11,8,2,11,17,64.7,6,13,0,13,3,24,8,0,Manchester City
625,Jack Grealish,eng ENG,FW,28-197,7.9,12,8,6,6,0,6,11,54.5,5,12,2,10,4,16,4,0,Manchester City
626,Matheus Nunes,pt POR,"MF,FW",25-211,5.6,8,3,1,5,2,4,10,40.0,6,4,1,3,0,8,7,0,Manchester City
627,Kevin De Bruyne,be BEL,MF,32-271,5.5,4,3,1,1,2,4,9,44.4,5,2,0,2,2,6,1,0,Manchester City
628,Rico Lewis,eng ENG,"MF,DF",19-125,5.0,5,3,3,1,1,1,3,33.3,2,4,1,3,4,9,3,0,Manchester City
629,Stefan Ortega,de GER,GK,31-140,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Manchester City
630,Oscar Bobb,no NOR,"FW,MF",20-257,2.0,3,0,1,0,2,1,2,50.0,1,3,0,3,1,4,1,0,Manchester City
631,Kalvin Phillips,eng ENG,MF,28-114,1.0,3,3,1,1,1,0,0,,0,0,0,0,2,5,2,0,Manchester City
632,Sergio Gómez,es ESP,FW,23-203,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Manchester City
633,Aymeric Laporte,es ESP,DF,29-303,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,Manchester City
634,Cole Palmer,eng ENG,MF,21-324,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Manchester City
635,James Mcatee,eng ENG,MF,21-159,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Manchester City
636,Ollie Watkins,eng ENG,FW,28-086,28.5,9,6,0,3,6,4,10,40.0,6,24,4,20,4,13,19,0,Aston Villa
