Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
637,Emiliano Martínez,ar ARG,GK,31-205,28.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Aston Villa
638,Douglas Luiz,br BRA,MF,25-321,26.9,52,34,18,25,9,23,48,47.9,25,29,6,23,18,70,17,1,Aston Villa
639,John McGinn,sct SCO,"MF,FW",29-159,26.4,48,29,13,29,6,25,60,41.7,35,21,2,19,15,63,18,0,Aston Villa
640,Ezri Konsa,eng ENG,DF,26-154,25.1,38,22,20,15,3,18,20,90.0,2,25,14,11,25,63,62,3,Aston Villa
641,Matty Cash,pl POL,DF,26-231,21.1,48,26,21,22,5,24,49,49.0,25,33,12,21,18,66,52,0,Aston Villa
642,Pau Torres,es ESP,DF,27-069,20.4,21,13,14,6,1,10,22,45.5,12,17,6,11,10,31,54,0,Aston Villa
643,Boubacar Kamara,fr FRA,MF,24-123,18.4,43,29,16,21,6,24,47,51.1,23,21,7,14,21,64,16,0,Aston Villa
644,Lucas Digne,fr FRA,DF,30-249,18.5,33,15,25,7,1,18,31,58.1,13,12,0,12,20,53,41,0,Aston Villa
645,Moussa Diaby,fr FRA,"FW,MF",24-262,17.5,7,2,2,4,1,3,11,27.3,8,7,0,7,5,12,4,0,Aston Villa
646,Leon Bailey,jm JAM,"MF,FW",26-229,16.6,7,3,3,2,2,3,12,25.0,9,12,1,11,8,15,5,0,Aston Villa
647,Diego Carlos,br BRA,DF,31-010,13.0,17,12,13,3,1,7,13,53.8,6,13,10,3,10,27,48,2,Aston Villa
648,Clément Lenglet,fr FRA,DF,28-282,10.8,10,8,5,5,0,6,9,66.7,3,15,7,8,6,16,41,1,Aston Villa
649,Youri Tielemans,be BEL,"MF,FW",26-323,12.7,30,16,13,13,4,12,28,42.9,16,18,1,17,9,39,4,0,Aston Villa
650,Álex Moreno,es ESP,DF,30-291,10.4,16,12,16,0,0,10,16,62.5,6,9,2,7,12,28,33,0,Aston Villa
651,Jacob Ramsey,eng ENG,"MF,FW",22-302,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0,Aston Villa
652,Nicolò Zaniolo,it ITA,"MF,FW",24-267,6.9,12,5,6,4,2,5,11,45.5,6,13,0,13,1,13,9,0,Aston Villa
653,Jhon Durán,co COL,"FW,MF",20-103,2.6,3,3,1,1,1,0,3,0.0,3,3,0,3,0,3,7,0,Aston Villa
654,Morgan Rogers,eng ENG,MF,21-243,1.4,1,0,0,0,1,1,3,33.3,2,3,0,3,0,1,5,0,Aston Villa
655,Leander Dendoncker,be BEL,MF,28-345,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,Aston Villa
656,Robin Olsen,se SWE,GK,34-077,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
657,Tyrone Mings,eng ENG,DF,31-012,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Aston Villa
658,Tim Iroegbunam,eng ENG,MF,20-269,0.7,3,3,1,1,1,1,3,33.3,2,2,0,2,1,4,1,0,Aston Villa
659,Calum Chambers,eng ENG,DF,29-065,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Aston Villa
660,Philippe Coutinho,br BRA,"MF,FW",31-287,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Aston Villa
661,Bertrand Traoré,bf BFA,"DF,FW",28-201,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Aston Villa
662,Cameron Archer,eng ENG,MF,22-248,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
663,Jaden Philogene Bidace,eng ENG,FW,22-046,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
664,Guglielmo Vicario,it ITA,GK,27-170,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,26,2,Tottenham
665,Pedro Porro,es ESP,DF,24-194,25.0,71,50,35,22,14,47,92,51.1,45,50,14,36,23,94,79,2,Tottenham
666,Dejan Kulusevski,se SWE,"FW,MF",23-335,24.5,47,24,15,16,16,18,49,36.7,31,16,1,15,12,59,2,1,Tottenham
667,Son Heung-min,kr KOR,FW,31-261,23.0,15,9,5,5,5,7,16,43.8,9,3,1,2,7,22,4,0,Tottenham
668,Destiny Udogie,it ITA,DF,21-118,22.6,63,29,39,15,9,25,46,54.3,21,23,6,17,34,97,70,4,Tottenham
669,Cristian Romero,ar ARG,DF,25-333,21.0,48,32,30,17,1,23,30,76.7,7,30,13,17,34,82,77,1,Tottenham
670,Pape Matar Sarr,sn SEN,MF,21-193,16.5,26,18,9,13,4,12,27,44.4,15,14,4,10,17,43,18,0,Tottenham
671,Yves Bissouma,ml MLI,MF,27-208,17.2,62,40,26,28,8,32,46,69.6,14,23,5,18,29,91,36,3,Tottenham
672,Micky van de Ven,nl NED,DF,22-341,17.0,31,22,22,6,3,15,21,71.4,6,12,9,3,13,44,55,0,Tottenham
673,James Maddison,eng ENG,MF,27-123,16.2,24,12,3,12,9,12,23,52.2,11,11,2,9,9,33,7,1,Tottenham
674,Richarlison,br BRA,FW,26-320,15.1,16,11,4,8,4,2,9,22.2,7,32,6,26,8,24,21,0,Tottenham
675,Brennan Johnson,wls WAL,FW,22-307,14.2,19,12,12,3,4,10,24,41.7,14,24,0,24,6,25,12,1,Tottenham
676,Ben Davies,wls WAL,DF,30-336,11.1,21,17,13,6,2,15,18,83.3,3,16,14,2,10,31,33,0,Tottenham
677,Emerson,br BRA,DF,25-071,10.7,31,21,19,9,3,19,35,54.3,16,17,8,9,18,49,45,1,Tottenham
678,Rodrigo Bentancur,uy URU,MF,26-274,5.9,14,8,9,3,2,6,14,42.9,8,9,2,7,5,19,11,0,Tottenham
679,Pierre Højbjerg,dk DEN,MF,28-233,11.3,23,13,8,13,2,10,28,35.7,18,19,7,12,14,37,27,1,Tottenham
680,Timo Werner,de GER,FW,28-019,4.9,3,1,2,1,0,2,8,25.0,6,1,0,1,3,6,0,0,Tottenham
681,Oliver Skipp,eng ENG,"MF,FW",23-191,6.5,15,10,7,5,3,8,14,57.1,6,11,1,10,1,16,7,0,Tottenham
682,Giovani Lo Celso,ar ARG,MF,27-351,4.7,16,8,6,7,3,7,10,70.0,3,3,1,2,4,20,2,0,Tottenham
683,Manor Solomon,il ISR,FW,24-245,2.2,3,3,1,1,1,1,2,50.0,1,4,0,4,3,6,2,0,Tottenham
684,Bryan Gil,es ESP,"FW,MF",23-043,2.2,1,0,0,0,1,1,3,33.3,2,3,0,3,3,4,4,0,Tottenham
685,Eric Dier,eng ENG,DF,30-070,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,Tottenham
686,Radu Drăgușin,ro ROU,DF,22-051,1.6,0,0,0,0,0,0,0,,0,4,4,0,5,5,9,0,Tottenham
687,Ivan Perišić,hr CRO,FW,35-052,1.1,3,2,1,1,1,3,5,60.0,2,1,0,1,2,5,1,0,Tottenham
688,Davinson Sánchez,co COL,DF,27-287,0.9,0,0,0,0,0,0,0,,0,3,2,1,1,1,2,0,Tottenham
689,Alejo Véliz,ar ARG,FW,20-188,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Tottenham
690,Jamie Donley,eng ENG,FW,19-082,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Tottenham
691,Dane Scarlett,eng ENG,FW,20-001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Tottenham
692,André Onana,cm CMR,GK,27-358,28.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Manchester Utd
693,Bruno Fernandes,pt POR,"MF,FW",29-199,27.0,56,33,22,20,14,26,77,33.8,51,35,4,31,20,76,36,1,Manchester Utd
694,Diogo Dalot,pt POR,DF,25-007,25.3,56,36,41,8,7,35,48,72.9,13,34,12,22,27,83,84,0,Manchester Utd
695,Marcus Rashford,eng ENG,FW,26-146,22.1,16,9,8,3,5,7,24,29.2,17,12,1,11,4,20,14,0,Manchester Utd
696,Alejandro Garnacho,ar ARG,FW,19-268,19.6,16,11,5,4,7,8,35,22.9,27,21,1,20,13,29,18,0,Manchester Utd
697,Rasmus Højlund,dk DEN,FW,21-050,16.3,9,5,2,2,5,4,11,36.4,7,3,0,3,1,10,11,0,Manchester Utd
698,Casemiro,br BRA,MF,32-031,13.1,50,29,22,22,6,30,63,47.6,33,47,17,30,11,61,40,0,Manchester Utd
699,Scott McTominay,sct SCO,"MF,FW",27-108,16.4,40,19,18,20,2,16,26,61.5,10,27,10,17,11,51,40,0,Manchester Utd
700,Raphaël Varane,fr FRA,DF,30-335,14.0,17,10,9,7,1,9,13,69.2,4,16,13,3,14,31,84,0,Manchester Utd
701,Kobbie Mainoo,eng ENG,MF,18-341,12.3,24,15,9,11,4,9,21,42.9,12,13,8,5,13,37,25,1,Manchester Utd
702,Victor Lindelöf,se SWE,DF,29-252,14.0,14,9,7,7,0,5,12,41.7,7,15,8,7,11,25,34,1,Manchester Utd
703,Harry Maguire,eng ENG,DF,31-020,12.9,16,11,9,7,0,8,16,50.0,8,26,18,8,19,35,52,1,Manchester Utd
704,Jonny Evans,nir NIR,DF,36-082,12.1,12,7,10,2,0,9,16,56.3,7,19,14,5,17,29,65,0,Manchester Utd
705,Luke Shaw,eng ENG,DF,28-257,10.7,11,8,7,3,1,9,15,60.0,6,18,11,7,6,17,39,0,Manchester Utd
706,Antony,br BRA,FW,24-030,10.6,28,14,10,12,6,16,30,53.3,14,20,1,19,8,36,6,0,Manchester Utd
707,Aaron Wan-Bissaka,eng ENG,DF,26-120,9.8,25,19,12,11,2,16,22,72.7,6,14,8,6,20,45,38,1,Manchester Utd
708,Christian Eriksen,dk DEN,MF,32-040,9.9,14,12,4,7,3,8,27,29.6,19,14,5,9,3,17,10,0,Manchester Utd
709,Sofyan Amrabat,ma MAR,"MF,DF",27-217,7.1,23,15,14,7,2,16,25,64.0,9,12,3,9,5,28,12,2,Manchester Utd
710,Lisandro Martínez,ar ARG,DF,26-067,6.2,11,7,8,3,0,5,12,41.7,7,9,7,2,4,15,21,0,Manchester Utd
711,Anthony Martial,fr FRA,FW,28-111,5.0,4,1,1,1,2,1,1,100.0,0,4,0,4,0,4,3,0,Manchester Utd
712,Sergio Reguilón,es ESP,DF,27-100,4.6,13,8,6,2,5,8,17,47.1,9,10,0,10,5,18,7,0,Manchester Utd
713,Mason Mount,eng ENG,MF,25-075,4.4,16,10,4,7,5,3,12,25.0,9,5,1,4,3,19,1,0,Manchester Utd
714,Facundo Pellistri,uy URU,"FW,MF",22-096,1.9,5,3,4,1,0,1,3,33.3,2,7,1,6,1,6,5,0,Manchester Utd
715,Hannibal Mejbri,tn TUN,"MF,FW",21-064,1.5,3,3,1,2,0,1,3,33.3,2,1,1,0,0,3,0,0,Manchester Utd
716,Willy Kambwala,fr FRA,DF,19-213,1.2,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,4,0,Manchester Utd
717,Omari Forson,eng ENG,FW,19-249,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Manchester Utd
718,Jadon Sancho,eng ENG,"FW,MF",24-000,0.9,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0,Manchester Utd
719,Amad Diallo,ci CIV,FW,21-258,0.5,3,1,0,2,1,1,1,100.0,0,0,0,0,0,3,0,0,Manchester Utd
720,Donny van de Beek,nl NED,DF,26-342,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Manchester Utd
721,Daniel Gore,eng ENG,MF,19-181,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,Manchester Utd
722,Jarrod Bowen,eng ENG,FW,27-096,28.0,34,21,12,11,11,11,30,36.7,19,30,5,25,17,51,14,0,West Ham
723,Vladimír Coufal,cz CZE,DF,31-216,26.6,52,35,42,8,2,32,57,56.1,25,32,9,23,36,88,80,0,West Ham
724,James Ward-Prowse,eng ENG,MF,29-145,26.0,34,23,12,17,5,12,29,41.4,17,23,7,16,29,63,42,0,West Ham
725,Emerson Palmieri,it ITA,DF,29-235,26.2,78,52,33,33,12,42,62,67.7,20,35,8,27,31,109,74,0,West Ham
726,Alphonse Areola,fr FRA,GK,31-027,25.5,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,13,0,West Ham
727,Tomáš Souček,cz CZE,MF,29-027,24.8,36,26,14,20,2,15,35,42.9,20,41,23,18,33,69,80,0,West Ham
728,Kurt Zouma,fr FRA,DF,29-150,23.2,14,10,8,6,0,4,7,57.1,3,29,20,9,21,35,120,0,West Ham
729,Edson Álvarez,mx MEX,MF,26-153,21.9,65,32,40,21,4,25,50,50.0,25,48,18,30,31,96,72,0,West Ham
730,Lucas Paquetá,br BRA,"FW,MF",26-211,20.4,52,37,27,20,5,21,42,50.0,21,23,0,23,15,67,21,1,West Ham
731,Nayef Aguerd,ma MAR,DF,27-361,19.6,23,12,17,6,0,14,19,73.7,5,31,23,8,17,40,82,2,West Ham
732,Kudus Mohammed,gh GHA,"FW,MF",23-236,18.7,45,34,17,20,8,18,30,60.0,12,21,0,21,5,50,7,1,West Ham
733,Michail Antonio,jm JAM,FW,33-363,11.4,10,6,3,4,3,3,7,42.9,4,12,3,9,2,12,1,0,West Ham
734,Konstantinos Mavropanos,gr GRE,DF,26-105,12.0,22,12,12,8,2,13,16,81.3,3,16,8,8,20,42,62,1,West Ham
735,Saïd Benrahma,dz ALG,"FW,MF",28-228,6.9,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0,West Ham
736,Pablo Fornals,es ESP,"MF,FW",28-032,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0,West Ham
737,Ben Johnson,eng ENG,"DF,FW",24-061,4.7,9,6,6,2,1,8,11,72.7,3,1,1,0,5,14,8,0,West Ham
738,Angelo Ogbonna,it ITA,DF,35-307,3.6,3,1,3,0,0,2,2,100.0,0,10,8,2,2,5,18,0,West Ham
739,Łukasz Fabiański,pl POL,GK,38-342,3.5,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,West Ham
740,Kalvin Phillips,eng ENG,MF,28-114,3.0,8,3,2,5,1,5,7,71.4,2,3,0,3,4,12,2,1,West Ham
741,Aaron Cresswell,eng ENG,DF,34-101,2.7,1,0,1,0,0,1,2,50.0,1,3,2,1,2,3,4,0,West Ham
742,Danny Ings,eng ENG,FW,31-246,2.9,5,2,0,5,0,3,9,33.3,6,4,1,3,2,7,6,0,West Ham
743,Maxwel Cornet,ci CIV,"MF,FW",27-180,1.2,3,2,3,0,0,1,5,20.0,4,0,0,0,1,4,1,0,West Ham
744,Divin Mubama,eng ENG,FW,19-152,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,West Ham
745,Thilo Kehrer,de GER,"DF,MF",27-186,0.2,1,1,0,1,0,0,0,,0,2,2,0,0,1,0,0,West Ham
746,Pascal Groß,de GER,"MF,DF",32-284,24.6,51,33,23,16,12,21,48,43.8,27,32,6,26,17,68,23,3,Brighton
747,Lewis Dunk,eng ENG,DF,32-125,23.4,20,10,12,7,1,8,28,28.6,20,36,28,8,19,39,53,1,Brighton
748,Jan Paul van Hecke,nl NED,DF,23-291,21.3,37,22,19,15,3,22,37,59.5,15,39,20,19,26,63,65,4,Brighton
749,Billy Gilmour,sct SCO,MF,22-288,19.8,21,14,13,6,2,9,30,30.0,21,21,8,13,8,29,14,1,Brighton
750,Simon Adingra,ci CIV,FW,22-084,16.1,22,12,12,5,5,11,29,37.9,18,16,1,15,12,34,10,0,Brighton
751,Kaoru Mitoma,jp JPN,FW,26-310,16.5,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0,Brighton
752,Evan Ferguson,ie IRL,FW,19-158,15.1,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,7,0,Brighton
753,Jason Steele,eng ENG,GK,33-220,15.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,7,1,Brighton
754,Danny Welbeck,eng ENG,"FW,MF",33-120,11.4,17,8,4,9,4,6,11,54.5,5,10,0,10,5,22,14,1,Brighton
755,Bart Verbruggen,nl NED,GK,21-220,13.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,3,Brighton
756,João Pedro,br BRA,"FW,MF",22-181,15.5,23,13,7,11,5,9,17,52.9,8,10,1,9,9,32,23,0,Brighton
757,Pervis Estupiñán,ec ECU,DF,26-064,11.7,20,9,8,10,2,10,24,41.7,14,12,2,10,18,38,17,0,Brighton
758,Facundo Buonanotte,ar ARG,"MF,FW",19-093,10.5,31,16,8,18,5,10,28,35.7,18,18,3,15,5,36,4,0,Brighton
759,Joël Veltman,nl NED,DF,32-070,12.6,31,25,15,12,4,20,33,60.6,13,15,7,8,14,45,41,1,Brighton
760,Igor,br BRA,DF,26-047,11.1,17,11,4,11,2,10,18,55.6,8,13,6,7,9,26,31,0,Brighton
761,James Milner,eng ENG,"DF,MF",38-081,8.6,20,14,9,10,1,9,14,64.3,5,9,0,9,8,28,16,0,Brighton
762,Adam Lallana,eng ENG,MF,35-320,7.4,7,2,3,4,0,0,3,0.0,3,2,1,1,2,9,1,0,Brighton
763,Adam Webster,eng ENG,DF,29-081,8.5,11,11,8,2,1,6,15,40.0,9,7,4,3,9,20,30,1,Brighton
764,Carlos Baleba,cm CMR,MF,20-082,8.5,27,14,12,12,3,15,28,53.6,13,18,4,14,12,39,19,2,Brighton
765,Jack Hinshelwood,eng ENG,DF,18-349,9.7,14,5,7,4,3,5,13,38.5,8,6,2,4,14,28,18,0,Brighton
766,Tariq Lamptey,gh GHA,"DF,FW",23-177,6.6,10,8,6,3,1,4,12,33.3,8,4,2,2,5,15,2,0,Brighton
767,Solly March,eng ENG,"FW,DF",29-249,6.2,19,14,9,7,3,8,14,57.1,6,5,0,5,11,30,8,0,Brighton
768,Mahmoud Dahoud,de GER,MF,28-084,5.0,9,4,2,4,3,3,9,33.3,6,4,1,3,1,10,5,0,Brighton
769,Ansu Fati,es ESP,"MF,FW",21-146,5.3,4,2,1,2,1,1,11,9.1,10,7,0,7,3,7,3,0,Brighton
770,Julio Enciso,py PAR,"MF,FW",20-062,1.6,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,Brighton
771,Jakub Moder,pl POL,"MF,DF",24-353,2.5,9,5,3,3,3,6,8,75.0,2,3,0,3,1,10,5,0,Brighton
772,Benicio Boaitey,eng ENG,"DF,FW",20-076,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Brighton
773,Max Kilman,eng ENG,DF,26-307,28.0,33,17,28,4,1,18,24,75.0,6,45,22,23,29,62,131,2,Wolves
774,Nélson Semedo,pt POR,"DF,MF",30-130,26.1,62,40,39,15,8,29,49,59.2,20,32,8,24,27,89,67,0,Wolves
775,José Sá,pt POR,GK,31-068,24.7,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,14,5,Wolves
776,Craig Dawson,eng ENG,DF,33-324,24.5,30,20,23,6,1,22,34,64.7,12,51,39,12,16,46,120,1,Wolves
777,Mario Lemina,ga GAB,MF,30-206,24.2,68,47,36,23,9,15,31,48.4,16,24,5,19,35,103,55,0,Wolves
778,Matheus Cunha,br BRA,"FW,MF",24-303,21.8,24,11,6,15,3,10,30,33.3,20,23,7,16,13,37,16,1,Wolves
779,João Gomes,br BRA,MF,23-042,20.2,83,47,47,29,7,30,67,44.8,37,42,4,38,17,100,19,2,Wolves
780,Toti Gomes,pt POR,DF,25-069,20.8,34,22,24,7,3,18,24,75.0,6,26,14,12,19,53,56,1,Wolves
781,Rayan Aït-Nouri,dz ALG,"DF,MF",22-293,18.9,49,28,27,17,5,19,31,61.3,12,24,6,18,12,61,31,0,Wolves
782,Hwang Hee-chan,kr KOR,"FW,MF",28-059,18.0,16,8,9,6,1,8,21,38.1,13,18,1,17,8,24,9,0,Wolves
783,Pedro Neto,pt POR,"FW,MF",24-016,16.7,7,3,3,2,2,5,15,33.3,10,5,1,4,4,11,2,0,Wolves
784,Pablo Sarabia,es ESP,"MF,FW",31-319,14.1,15,9,7,6,2,9,24,37.5,15,14,1,13,8,23,8,0,Wolves
785,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-272,9.0,15,9,7,6,2,6,13,46.2,7,17,2,15,7,22,13,0,Wolves
786,Tommy Doyle,eng ENG,MF,22-160,9.0,17,8,9,5,3,10,13,76.9,3,17,7,10,9,26,13,0,Wolves
787,Hugo Bueno,es ESP,"DF,MF",21-189,4.8,17,11,9,6,2,8,13,61.5,5,9,1,8,4,21,15,0,Wolves
788,Matt Doherty,ie IRL,"DF,MF",32-069,6.6,13,7,6,5,2,5,11,45.5,6,7,2,5,4,17,24,0,Wolves
789,Boubacar Traoré,ml MLI,"MF,FW",22-218,4.5,13,10,7,5,1,3,9,33.3,6,7,1,6,3,16,4,0,Wolves
790,Santiago Bueno,uy URU,DF,25-137,3.2,4,2,1,3,0,2,3,66.7,1,8,4,4,3,7,19,0,Wolves
791,Fábio Silva,pt POR,FW,21-250,2.9,7,4,3,4,0,2,3,66.7,1,1,0,1,2,9,0,0,Wolves
792,Daniel Bentley,eng ENG,GK,30-256,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Wolves
793,Matheus Nunes,pt POR,MF,25-211,2.0,3,1,3,0,0,2,6,33.3,4,0,0,0,6,9,1,0,Wolves
794,Nathan Fraser,ie IRL,FW,19-032,1.9,3,1,1,1,1,0,2,0.0,2,2,1,1,1,4,1,0,Wolves
795,Sasa Kalajdzic,at AUT,FW,26-262,1.8,6,2,3,2,1,1,2,50.0,1,3,0,3,1,7,6,0,Wolves
796,Tawanda Chirewa,eng ENG,"MF,FW",20-166,0.1,2,0,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Wolves
797,Jonny Castro,es ESP,MF,30-022,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Wolves
